ensg_b,symbol,name
ENSG00000000003,TSPAN6,tetraspanin 6
ENSG00000000005,TNMD,tenomodulin
ENSG00000000419,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
ENSG00000000457,SCYL3,SCY1 like pseudokinase 3
ENSG00000000460,FIRRM,FIGNL1 interacting regulator of recombination and mitosis
ENSG00000000938,FGR,"FGR proto-oncogene, Src family tyrosine kinase"
ENSG00000000971,CFH,complement factor H
ENSG00000001036,FUCA2,alpha-L-fucosidase 2
ENSG00000001084,GCLC,glutamate-cysteine ligase catalytic subunit
ENSG00000001167,NFYA,nuclear transcription factor Y subunit alpha
ENSG00000001460,STPG1,sperm tail PG-rich repeat containing 1
ENSG00000001461,NIPAL3,NIPA like domain containing 3
ENSG00000001497,LAS1L,LAS1 like ribosome biogenesis factor
ENSG00000001561,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4
ENSG00000001617,SEMA3F,semaphorin 3F
ENSG00000001629,ANKIB1,ankyrin repeat and IBR domain containing 1
ENSG00000001630,CYP51A1,cytochrome P450 family 51 subfamily A member 1
ENSG00000001631,KRIT1,KRIT1 ankyrin repeat containing
ENSG00000002016,RAD52,RAD52 DNA repair protein
ENSG00000002330,BAD,BCL2 associated agonist of cell death
ENSG00000002549,LAP3,leucine aminopeptidase 3
ENSG00000002586,CD99,CD99 molecule (Xg blood group)
ENSG00000002587,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1
ENSG00000002746,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
ENSG00000002822,MAD1L1,mitotic arrest deficient 1 like 1
ENSG00000002834,LASP1,LIM and SH3 protein 1
ENSG00000002919,SNX11,sorting nexin 11
ENSG00000002933,TMEM176A,transmembrane protein 176A
ENSG00000003056,M6PR,"mannose-6-phosphate receptor, cation dependent"
ENSG00000003096,KLHL13,kelch like family member 13
ENSG00000003137,CYP26B1,cytochrome P450 family 26 subfamily B member 1
ENSG00000003147,ICA1,islet cell autoantigen 1
ENSG00000003249,DBNDD1,dysbindin domain containing 1
ENSG00000003393,ALS2,alsin Rho guanine nucleotide exchange factor ALS2
ENSG00000003400,CASP10,caspase 10
ENSG00000003402,CFLAR,CASP8 and FADD like apoptosis regulator
ENSG00000003436,TFPI,tissue factor pathway inhibitor
ENSG00000003509,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7
ENSG00000003756,RBM5,RNA binding motif protein 5
ENSG00000003987,MTMR7,myotubularin related protein 7
ENSG00000003989,SLC7A2,solute carrier family 7 member 2
ENSG00000004059,ARF5,ARF GTPase 5
ENSG00000004139,SARM1,sterile alpha and TIR motif containing 1
ENSG00000004142,POLDIP2,DNA polymerase delta interacting protein 2
ENSG00000004399,PLXND1,plexin D1
ENSG00000004455,AK2,adenylate kinase 2
ENSG00000004468,CD38,CD38 molecule
ENSG00000004478,FKBP4,FKBP prolyl isomerase 4
ENSG00000004487,KDM1A,lysine demethylase 1A
ENSG00000004534,RBM6,RNA binding motif protein 6
ENSG00000004660,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004700,RECQL,RecQ like helicase
ENSG00000004766,VPS50,VPS50 subunit of EARP/GARPII complex
ENSG00000004776,HSPB6,heat shock protein family B (small) member 6
ENSG00000004777,ARHGAP33,Rho GTPase activating protein 33
ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004799,PDK4,pyruvate dehydrogenase kinase 4
ENSG00000004809,SLC22A16,solute carrier family 22 member 16
ENSG00000004838,ZMYND10,zinc finger MYND-type containing 10
ENSG00000004846,ABCB5,ATP binding cassette subfamily B member 5
ENSG00000004864,SLC25A13,solute carrier family 25 member 13
ENSG00000004866,ST7,suppression of tumorigenicity 7
ENSG00000004897,CDC27,cell division cycle 27
ENSG00000004939,SLC4A1,solute carrier family 4 member 1 (Diego blood group)
ENSG00000004961,HCCS,holocytochrome c synthase
ENSG00000004975,DVL2,dishevelled segment polarity protein 2
ENSG00000005007,UPF1,UPF1 RNA helicase and ATPase
ENSG00000005020,SKAP2,src kinase associated phosphoprotein 2
ENSG00000005022,SLC25A5,solute carrier family 25 member 5
ENSG00000005059,MCUB,mitochondrial calcium uniporter dominant negative subunit beta
ENSG00000005073,HOXA11,homeobox A11
ENSG00000005075,POLR2J,RNA polymerase II subunit J
ENSG00000005100,DHX33,DEAH-box helicase 33
ENSG00000005102,MEOX1,mesenchyme homeobox 1
ENSG00000005108,THSD7A,thrombospondin type 1 domain containing 7A
ENSG00000005156,LIG3,DNA ligase 3
ENSG00000005175,RPAP3,RNA polymerase II associated protein 3
ENSG00000005187,ACSM3,acyl-CoA synthetase medium chain family member 3
ENSG00000005189,REXO5,RNA exonuclease 5
ENSG00000005194,CIAPIN1,cytokine induced apoptosis inhibitor 1
ENSG00000005206,SPPL2B,signal peptide peptidase like 2B
ENSG00000005238,ATOSB,atos homolog B
ENSG00000005243,COPZ2,coat protein complex I subunit zeta 2
ENSG00000005249,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta
ENSG00000005302,MSL3,MSL complex subunit 3
ENSG00000005339,CREBBP,CREB binding lysine acetyltransferase
ENSG00000005379,TSPOAP1,TSPO associated protein 1
ENSG00000005381,MPO,myeloperoxidase
ENSG00000005436,GCFC2,GC-rich sequence DNA-binding factor 2
ENSG00000005448,WDR54,WD repeat domain 54
ENSG00000005469,CROT,carnitine O-octanoyltransferase
ENSG00000005471,ABCB4,ATP binding cassette subfamily B member 4
ENSG00000005483,KMT2E,lysine methyltransferase 2E (inactive)
ENSG00000005486,RHBDD2,rhomboid domain containing 2
ENSG00000005700,IBTK,inhibitor of Bruton tyrosine kinase
ENSG00000005801,ZNF195,zinc finger protein 195
ENSG00000005810,MYCBP2,MYC binding protein 2
ENSG00000005812,FBXL3,F-box and leucine rich repeat protein 3
ENSG00000005844,ITGAL,integrin subunit alpha L
ENSG00000005882,PDK2,pyruvate dehydrogenase kinase 2
ENSG00000005884,ITGA3,integrin subunit alpha 3
ENSG00000005889,ZFX,zinc finger protein X-linked
ENSG00000005893,LAMP2,lysosome associated membrane protein 2
ENSG00000005961,ITGA2B,integrin subunit alpha 2b
ENSG00000006007,GDE1,glycerophosphodiester phosphodiesterase 1
ENSG00000006015,REX1BD,required for excision 1-B domain containing
ENSG00000006016,CRLF1,cytokine receptor like factor 1
ENSG00000006025,OSBPL7,oxysterol binding protein like 7
ENSG00000006042,TMEM98,transmembrane protein 98
ENSG00000006047,YBX2,Y-box binding protein 2
ENSG00000006062,MAP3K14,mitogen-activated protein kinase kinase kinase 14
ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8
ENSG00000006118,TMEM132A,transmembrane protein 132A
ENSG00000006125,AP2B1,adaptor related protein complex 2 subunit beta 1
ENSG00000006194,ZNF263,zinc finger protein 263
ENSG00000006210,CX3CL1,C-X3-C motif chemokine ligand 1
ENSG00000006282,SPATA20,spermatogenesis associated 20
ENSG00000006283,CACNA1G,calcium voltage-gated channel subunit alpha1 G
ENSG00000006327,TNFRSF12A,TNF receptor superfamily member 12A
ENSG00000006377,DLX6,distal-less homeobox 6
ENSG00000006432,MAP3K9,mitogen-activated protein kinase kinase kinase 9
ENSG00000006451,RALA,RAS like proto-oncogene A
ENSG00000006453,BAIAP2L1,BAR/IMD domain containing adaptor protein 2 like 1
ENSG00000006459,KDM7A,lysine demethylase 7A
ENSG00000006468,ETV1,ETS variant transcription factor 1
ENSG00000006530,AGK,acylglycerol kinase
ENSG00000006534,ALDH3B1,aldehyde dehydrogenase 3 family member B1
ENSG00000006576,PHTF2,putative homeodomain transcription factor 2
ENSG00000006607,FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2"
ENSG00000006625,GGCT,gamma-glutamylcyclotransferase
ENSG00000006634,DBF4,DBF4-CDC7 kinase regulatory subunit
ENSG00000006638,TBXA2R,thromboxane A2 receptor
ENSG00000006652,IFRD1,interferon related developmental regulator 1
ENSG00000006695,COX10,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
ENSG00000006704,GTF2IRD1,GTF2I repeat domain containing 1
ENSG00000006712,PAF1,PAF1 component of Paf1/RNA polymerase II complex
ENSG00000006715,VPS41,VPS41 subunit of HOPS complex
ENSG00000006740,ARHGAP44,Rho GTPase activating protein 44
ENSG00000006744,ELAC2,elaC ribonuclease Z 2
ENSG00000006747,SCIN,scinderin
ENSG00000006756,ARSD,arylsulfatase D
ENSG00000006757,PNPLA4,"patatin like domain 4, phospholipase and triacylglycerol lipase"
ENSG00000006831,ADIPOR2,adiponectin receptor 2
ENSG00000006837,CDKL3,cyclin dependent kinase like 3
ENSG00000007047,MARK4,microtubule affinity regulating kinase 4
ENSG00000007080,CCDC124,coiled-coil domain containing 124
ENSG00000007129,CEACAM21,CEA cell adhesion molecule 21
ENSG00000007168,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1
ENSG00000007174,DNAH9,dynein axonemal heavy chain 9
ENSG00000007202,BLTP2,bridge-like lipid transfer protein family member 2
ENSG00000007237,GAS7,growth arrest specific 7
ENSG00000007255,TRAPPC6A,trafficking protein particle complex subunit 6A
ENSG00000007264,MATK,megakaryocyte-associated tyrosine kinase
ENSG00000007312,CD79B,CD79b molecule
ENSG00000007314,SCN4A,sodium voltage-gated channel alpha subunit 4
ENSG00000007341,ST7L,suppression of tumorigenicity 7 like
ENSG00000007376,RPUSD1,RNA pseudouridine synthase domain containing 1
ENSG00000007384,RHBDF1,rhomboid 5 homolog 1
ENSG00000007392,LUC7L,LUC7 like
ENSG00000007402,CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2
ENSG00000007516,BAIAP3,BAI1 associated protein 3
ENSG00000007520,TSR3,TSR3 ribosome maturation factor
ENSG00000007541,PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q
ENSG00000007545,CRAMP1,cramped chromatin regulator 1
ENSG00000007866,TEAD3,TEA domain transcription factor 3
ENSG00000007908,SELE,selectin E
ENSG00000007923,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11
ENSG00000007933,FMO3,flavin containing dimethylaniline monoxygenase 3
ENSG00000007944,MYLIP,myosin regulatory light chain interacting protein
ENSG00000007968,E2F2,E2F transcription factor 2
ENSG00000008018,PSMB1,proteasome 20S subunit beta 1
ENSG00000008056,SYN1,synapsin I
ENSG00000008083,JARID2,jumonji and AT-rich interaction domain containing 2
ENSG00000008086,CDKL5,cyclin dependent kinase like 5
ENSG00000008118,CAMK1G,calcium/calmodulin dependent protein kinase IG
ENSG00000008128,CDK11A,cyclin dependent kinase 11A
ENSG00000008130,NADK,NAD kinase
ENSG00000008226,DLEC1,DLEC1 cilia and flagella associated protein
ENSG00000008256,CYTH3,cytohesin 3
ENSG00000008277,ADAM22,ADAM metallopeptidase domain 22
ENSG00000008282,SYPL1,synaptophysin like 1
ENSG00000008283,CYB561,cytochrome b561
ENSG00000008294,SPAG9,sperm associated antigen 9
ENSG00000008300,CELSR3,cadherin EGF LAG seven-pass G-type receptor 3
ENSG00000008311,AASS,aminoadipate-semialdehyde synthase
ENSG00000008323,PLEKHG6,pleckstrin homology and RhoGEF domain containing G6
ENSG00000008324,SS18L2,SS18 like 2
ENSG00000008382,MPND,MPN domain containing
ENSG00000008394,MGST1,microsomal glutathione S-transferase 1
ENSG00000008405,CRY1,cryptochrome circadian regulator 1
ENSG00000008438,PGLYRP1,peptidoglycan recognition protein 1
ENSG00000008441,NFIX,nuclear factor I X
ENSG00000008513,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
ENSG00000008516,MMP25,matrix metallopeptidase 25
ENSG00000008517,IL32,interleukin 32
ENSG00000008710,PKD1,"polycystin 1, transient receptor potential channel interacting"
ENSG00000008735,MAPK8IP2,mitogen-activated protein kinase 8 interacting protein 2
ENSG00000008838,MED24,mediator complex subunit 24
ENSG00000008853,RHOBTB2,Rho related BTB domain containing 2
ENSG00000008869,HEATR5B,HEAT repeat containing 5B
ENSG00000008952,SEC62,SEC62 preprotein translocation factor
ENSG00000008988,RPS20,ribosomal protein S20
ENSG00000009307,CSDE1,cold shock domain containing E1
ENSG00000009335,UBE3C,ubiquitin protein ligase E3C
ENSG00000009413,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit"
ENSG00000009694,TENM1,teneurin transmembrane protein 1
ENSG00000009724,MASP2,MBL associated serine protease 2
ENSG00000009780,FAM76A,family with sequence similarity 76 member A
ENSG00000009790,TRAF3IP3,TRAF3 interacting protein 3
ENSG00000009830,POMT2,protein O-mannosyltransferase 2
ENSG00000009844,VTA1,vesicle trafficking 1
ENSG00000009950,MLXIPL,MLX interacting protein like
ENSG00000009954,BAZ1B,bromodomain adjacent to zinc finger domain 1B
ENSG00000010017,RANBP9,RAN binding protein 9
ENSG00000010030,ETV7,ETS variant transcription factor 7
ENSG00000010072,SPRTN,SprT-like N-terminal domain
ENSG00000010165,METTL13,"methyltransferase 13, eEF1A N-terminus and K55"
ENSG00000010219,DYRK4,dual specificity tyrosine phosphorylation regulated kinase 4
ENSG00000010244,ZNF207,zinc finger protein 207
ENSG00000010256,UQCRC1,ubiquinol-cytochrome c reductase core protein 1
ENSG00000010270,STARD3NL,STARD3 N-terminal like
ENSG00000010278,CD9,CD9 molecule
ENSG00000010292,NCAPD2,non-SMC condensin I complex subunit D2
ENSG00000010295,IFFO1,intermediate filament family orphan 1
ENSG00000010310,GIPR,gastric inhibitory polypeptide receptor
ENSG00000010318,PHF7,PHD finger protein 7
ENSG00000010319,SEMA3G,semaphorin 3G
ENSG00000010322,NISCH,nischarin
ENSG00000010327,STAB1,stabilin 1
ENSG00000010361,FUZ,fuzzy planar cell polarity protein
ENSG00000010404,IDS,iduronate 2-sulfatase
ENSG00000010539,ZNF200,zinc finger protein 200
ENSG00000010610,CD4,CD4 molecule
ENSG00000010626,LRRC23,leucine rich repeat containing 23
ENSG00000010671,BTK,Bruton tyrosine kinase
ENSG00000010704,HFE,homeostatic iron regulator
ENSG00000010803,SCMH1,Scm polycomb group protein homolog 1
ENSG00000010810,FYN,"FYN proto-oncogene, Src family tyrosine kinase"
ENSG00000010818,HIVEP2,HIVEP zinc finger 2
ENSG00000011007,ELOA,elongin A
ENSG00000011009,LYPLA2,lysophospholipase 2
ENSG00000011021,CLCN6,Cl-/H+ antiporter 6
ENSG00000011028,MRC2,mannose receptor C-type 2
ENSG00000011105,TSPAN9,tetraspanin 9
ENSG00000011114,BTBD7,BTB domain containing 7
ENSG00000011132,APBA3,amyloid beta precursor protein binding family A member 3
ENSG00000011143,MKS1,MKS transition zone complex subunit 1
ENSG00000011198,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
ENSG00000011201,ANOS1,anosmin 1
ENSG00000011243,AKAP8L,A-kinase anchoring protein 8 like
ENSG00000011258,MBTD1,mbt domain containing 1
ENSG00000011260,UTP18,UTP18 small subunit processome component
ENSG00000011275,RNF216,ring finger protein 216
ENSG00000011295,TTC19,tetratricopeptide repeat domain 19
ENSG00000011304,PTBP1,polypyrimidine tract binding protein 1
ENSG00000011332,DPF1,double PHD fingers 1
ENSG00000011347,SYT7,synaptotagmin 7
ENSG00000011376,LARS2,"leucyl-tRNA synthetase 2, mitochondrial"
ENSG00000011405,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
ENSG00000011422,PLAUR,"plasminogen activator, urokinase receptor"
ENSG00000011426,ANLN,"anillin, actin binding protein"
ENSG00000011451,WIZ,WIZ zinc finger
ENSG00000011454,RABGAP1,RAB GTPase activating protein 1
ENSG00000011465,DCN,decorin
ENSG00000011478,QPCTL,glutaminyl-peptide cyclotransferase like
ENSG00000011485,PPP5C,protein phosphatase 5 catalytic subunit
ENSG00000011523,CEP68,centrosomal protein 68
ENSG00000011566,MAP4K3,mitogen-activated protein kinase kinase kinase kinase 3
ENSG00000011590,ZBTB32,zinc finger and BTB domain containing 32
ENSG00000011600,TYROBP,transmembrane immune signaling adaptor TYROBP
ENSG00000011638,LDAF1,lipid droplet assembly factor 1
ENSG00000012048,BRCA1,BRCA1 DNA repair associated
ENSG00000012061,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit"
ENSG00000012124,CD22,CD22 molecule
ENSG00000012171,SEMA3B,semaphorin 3B
ENSG00000012174,MBTPS2,"membrane bound transcription factor peptidase, site 2"
ENSG00000012211,PRICKLE3,prickle planar cell polarity protein 3
ENSG00000012223,LTF,lactotransferrin
ENSG00000012232,EXTL3,exostosin like glycosyltransferase 3
ENSG00000012660,ELOVL5,ELOVL fatty acid elongase 5
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase
ENSG00000012817,KDM5D,lysine demethylase 5D
ENSG00000012822,CALCOCO1,calcium binding and coiled-coil domain 1
ENSG00000012963,UBR7,ubiquitin protein ligase E3 component n-recognin 7
ENSG00000012983,MAP4K5,mitogen-activated protein kinase kinase kinase kinase 5
ENSG00000013016,EHD3,EH domain containing 3
ENSG00000013275,PSMC4,"proteasome 26S subunit, ATPase 4"
ENSG00000013288,MAN2B2,mannosidase alpha class 2B member 2
ENSG00000013293,SLC7A14,solute carrier family 7 member 14
ENSG00000013297,CLDN11,claudin 11
ENSG00000013306,SLC25A39,solute carrier family 25 member 39
ENSG00000013364,MVP,major vault protein
ENSG00000013374,NUB1,negative regulator of ubiquitin like proteins 1
ENSG00000013375,PGM3,phosphoglucomutase 3
ENSG00000013392,RWDD2A,RWD domain containing 2A
ENSG00000013441,CLK1,CDC like kinase 1
ENSG00000013503,POLR3B,RNA polymerase III subunit B
ENSG00000013523,ANGEL1,angel homolog 1
ENSG00000013561,RNF14,ring finger protein 14
ENSG00000013563,DNASE1L1,deoxyribonuclease 1 like 1
ENSG00000013573,DDX11,DEAD/H-box helicase 11
ENSG00000013583,HEBP1,heme binding protein 1
ENSG00000013588,GPRC5A,G protein-coupled receptor class C group 5 member A
ENSG00000013619,MAMLD1,mastermind like domain containing 1
ENSG00000013725,CD6,CD6 molecule
ENSG00000013810,TACC3,transforming acidic coiled-coil containing protein 3
ENSG00000014123,UFL1,UFM1 specific ligase 1
ENSG00000014138,POLA2,"DNA polymerase alpha 2, accessory subunit"
ENSG00000014164,ZC3H3,zinc finger CCCH-type containing 3
ENSG00000014216,CAPN1,calpain 1
ENSG00000014257,ACP3,acid phosphatase 3
ENSG00000014641,MDH1,malate dehydrogenase 1
ENSG00000014824,SLC30A9,solute carrier family 30 member 9
ENSG00000014914,MTMR11,myotubularin related protein 11
ENSG00000014919,COX15,cytochrome c oxidase assembly factor COX15
ENSG00000015133,CCDC88C,coiled-coil and HOOK domain protein 88C
ENSG00000015153,YAF2,YY1 associated factor 2
ENSG00000015171,ZMYND11,zinc finger MYND-type containing 11
ENSG00000015285,WAS,WASP actin nucleation promoting factor
ENSG00000015413,DPEP1,dipeptidase 1
ENSG00000015475,BID,BH3 interacting domain death agonist
ENSG00000015479,MATR3,matrin 3
ENSG00000015532,XYLT2,xylosyltransferase 2
ENSG00000015676,NUDCD3,NudC domain containing 3
ENSG00000016391,CHDH,choline dehydrogenase
ENSG00000016864,GLT8D1,glycosyltransferase 8 domain containing 1
ENSG00000017260,ATP2C1,ATPase secretory pathway Ca2+ transporting 1
ENSG00000017427,IGF1,insulin like growth factor 1
ENSG00000017483,SLC38A5,solute carrier family 38 member 5
ENSG00000017797,RALBP1,ralA binding protein 1
ENSG00000018189,RUFY3,RUN and FYVE domain containing 3
ENSG00000018236,CNTN1,contactin 1
ENSG00000018280,SLC11A1,solute carrier family 11 member 1
ENSG00000018408,WWTR1,WW domain containing transcription regulator 1
ENSG00000018510,AGPS,alkylglycerone phosphate synthase
ENSG00000018610,STEEP1,STING1 ER exit protein 1
ENSG00000018625,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
ENSG00000018699,TTC27,tetratricopeptide repeat domain 27
ENSG00000018869,ZNF582,zinc finger protein 582
ENSG00000019102,VSIG2,V-set and immunoglobulin domain containing 2
ENSG00000019144,PHLDB1,pleckstrin homology like domain family B member 1
ENSG00000019169,MARCO,macrophage receptor with collagenous structure
ENSG00000019485,PRDM11,PR/SET domain 11
ENSG00000019549,SNAI2,snail family transcriptional repressor 2
ENSG00000019582,CD74,CD74 molecule
ENSG00000019991,HGF,hepatocyte growth factor
ENSG00000019995,ZRANB1,zinc finger RANBP2-type containing 1
ENSG00000020129,NCDN,neurochondrin
ENSG00000020181,ADGRA2,adhesion G protein-coupled receptor A2
ENSG00000020256,ZFP64,ZFP64 zinc finger protein
ENSG00000020426,MNAT1,MNAT1 component of CDK activating kinase
ENSG00000020577,SAMD4A,sterile alpha motif domain containing 4A
ENSG00000020633,RUNX3,RUNX family transcription factor 3
ENSG00000020922,MRE11,MRE11 double strand break repair nuclease
ENSG00000021300,PLEKHB1,pleckstrin homology domain containing B1
ENSG00000021355,SERPINB1,serpin family B member 1
ENSG00000021574,SPAST,spastin
ENSG00000021645,NRXN3,neurexin 3
ENSG00000021762,OSBPL5,oxysterol binding protein like 5
ENSG00000021776,AQR,aquarius intron-binding spliceosomal factor
ENSG00000021826,CPS1,carbamoyl-phosphate synthase 1
ENSG00000022267,FHL1,four and a half LIM domains 1
ENSG00000022277,RTF2,replication termination factor 2
ENSG00000022556,NLRP2,NLR family pyrin domain containing 2
ENSG00000022567,SLC45A4,solute carrier family 45 member 4
ENSG00000022840,RNF10,ring finger protein 10
ENSG00000022976,ZNF839,zinc finger protein 839
ENSG00000023041,ZDHHC6,zDHHC palmitoyltransferase 6
ENSG00000023171,GRAMD1B,GRAM domain containing 1B
ENSG00000023191,RNH1,ribonuclease/angiogenin inhibitor 1
ENSG00000023228,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1
ENSG00000023287,RB1CC1,RB1 inducible coiled-coil 1
ENSG00000023318,ERP44,endoplasmic reticulum protein 44
ENSG00000023330,ALAS1,5'-aminolevulinate synthase 1
ENSG00000023445,BIRC3,baculoviral IAP repeat containing 3
ENSG00000023516,AKAP11,A-kinase anchoring protein 11
ENSG00000023572,GLRX2,glutaredoxin 2
ENSG00000023608,SNAPC1,small nuclear RNA activating complex polypeptide 1
ENSG00000023697,DERA,deoxyribose-phosphate aldolase
ENSG00000023734,STRAP,serine/threonine kinase receptor associated protein
ENSG00000023839,ABCC2,ATP binding cassette subfamily C member 2
ENSG00000023892,DEF6,DEF6 guanine nucleotide exchange factor
ENSG00000023902,PLEKHO1,pleckstrin homology domain containing O1
ENSG00000023909,GCLM,glutamate-cysteine ligase modifier subunit
ENSG00000024048,UBR2,ubiquitin protein ligase E3 component n-recognin 2
ENSG00000024422,EHD2,EH domain containing 2
ENSG00000024526,DEPDC1,DEP domain containing 1
ENSG00000024862,CCDC28A,coiled-coil domain containing 28A
ENSG00000025039,RRAGD,Ras related GTP binding D
ENSG00000025156,HSF2,heat shock transcription factor 2
ENSG00000025293,PHF20,PHD finger protein 20
ENSG00000025423,HSD17B6,hydroxysteroid 17-beta dehydrogenase 6
ENSG00000025434,NR1H3,nuclear receptor subfamily 1 group H member 3
ENSG00000025708,TYMP,thymidine phosphorylase
ENSG00000025770,NCAPH2,non-SMC condensin II complex subunit H2
ENSG00000025772,TOMM34,translocase of outer mitochondrial membrane 34
ENSG00000025796,SEC63,SEC63 protein translocation regulator
ENSG00000025800,KPNA6,karyopherin subunit alpha 6
ENSG00000026025,VIM,vimentin
ENSG00000026036,RTEL1-TNFRSF6B,RTEL1-TNFRSF6B readthrough (NMD candidate)
ENSG00000026103,FAS,Fas cell surface death receptor
ENSG00000026297,RNASET2,ribonuclease T2
ENSG00000026508,CD44,CD44 molecule (IN blood group)
ENSG00000026559,KCNG1,potassium voltage-gated channel modifier subfamily G member 1
ENSG00000026652,AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4
ENSG00000026751,SLAMF7,SLAM family member 7
ENSG00000026950,BTN3A1,butyrophilin subfamily 3 member A1
ENSG00000027001,MIPEP,mitochondrial intermediate peptidase
ENSG00000027075,PRKCH,protein kinase C eta
ENSG00000027644,INSRR,insulin receptor related receptor
ENSG00000027697,IFNGR1,interferon gamma receptor 1
ENSG00000027847,B4GALT7,"beta-1,4-galactosyltransferase 7"
ENSG00000027869,SH2D2A,SH2 domain containing 2A
ENSG00000028116,VRK2,VRK serine/threonine kinase 2
ENSG00000028137,TNFRSF1B,TNF receptor superfamily member 1B
ENSG00000028203,VEZT,"vezatin, adherens junctions transmembrane protein"
ENSG00000028277,POU2F2,POU class 2 homeobox 2
ENSG00000028310,BRD9,bromodomain containing 9
ENSG00000028528,SNX1,sorting nexin 1
ENSG00000028839,TBPL1,TATA-box binding protein like 1
ENSG00000029153,BMAL2,basic helix-loop-helix ARNT like 2
ENSG00000029363,BCLAF1,BCL2 associated transcription factor 1
ENSG00000029364,SLC39A9,solute carrier family 39 member 9
ENSG00000029534,ANK1,ankyrin 1
ENSG00000029559,IBSP,integrin binding sialoprotein
ENSG00000029639,TFB1M,"transcription factor B1, mitochondrial"
ENSG00000029725,RABEP1,"rabaptin, RAB GTPase binding effector protein 1"
ENSG00000029993,HMGB3,high mobility group box 3
ENSG00000030066,NUP160,nucleoporin 160
ENSG00000030110,BAK1,BCL2 antagonist/killer 1
ENSG00000030304,MUSK,muscle associated receptor tyrosine kinase
ENSG00000030419,IKZF2,IKAROS family zinc finger 2
ENSG00000030582,GRN,granulin precursor
ENSG00000031003,FAM13B,family with sequence similarity 13 member B
ENSG00000031081,ARHGAP31,Rho GTPase activating protein 31
ENSG00000031691,CENPQ,centromere protein Q
ENSG00000031698,SARS1,seryl-tRNA synthetase 1
ENSG00000031823,RANBP3,RAN binding protein 3
ENSG00000032219,ARID4A,AT-rich interaction domain 4A
ENSG00000032389,EIPR1,EARP complex and GARP complex interacting protein 1
ENSG00000032444,PNPLA6,"patatin like domain 6, lysophospholipase"
ENSG00000032742,IFT88,intraflagellar transport 88
ENSG00000033011,ALG1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
ENSG00000033030,ZCCHC8,zinc finger CCHC-type containing 8
ENSG00000033050,ABCF2,ATP binding cassette subfamily F member 2
ENSG00000033100,CHPF2,chondroitin polymerizing factor 2
ENSG00000033170,FUT8,fucosyltransferase 8
ENSG00000033178,UBA6,ubiquitin like modifier activating enzyme 6
ENSG00000033327,GAB2,GRB2 associated binding protein 2
ENSG00000033627,ATP6V0A1,ATPase H+ transporting V0 subunit a1
ENSG00000033800,PIAS1,protein inhibitor of activated STAT 1
ENSG00000033867,SLC4A7,solute carrier family 4 member 7
ENSG00000034053,APBA2,amyloid beta precursor protein binding family A member 2
ENSG00000034152,MAP2K3,mitogen-activated protein kinase kinase 3
ENSG00000034239,CLXN,calaxin
ENSG00000034510,TMSB10,thymosin beta 10
ENSG00000034533,ASTE1,asteroid structure-specific endonuclease 1
ENSG00000034677,RNF19A,"ring finger protein 19A, RBR E3 ubiquitin protein ligase"
ENSG00000034693,PEX3,peroxisomal biogenesis factor 3
ENSG00000034713,GABARAPL2,GABA type A receptor associated protein like 2
ENSG00000034971,MYOC,myocilin
ENSG00000035115,SH3YL1,SH3 and SYLF domain containing 1
ENSG00000035141,TIMCC,TIM double twin CX3C motif chaperone
ENSG00000035403,VCL,vinculin
ENSG00000035499,DEPDC1B,DEP domain containing 1B
ENSG00000035664,DAPK2,death associated protein kinase 2
ENSG00000035681,NSMAF,neutral sphingomyelinase activation associated factor
ENSG00000035687,ADSS2,adenylosuccinate synthase 2
ENSG00000035720,STAP1,signal transducing adaptor family member 1
ENSG00000035862,TIMP2,TIMP metallopeptidase inhibitor 2
ENSG00000035928,RFC1,replication factor C subunit 1
ENSG00000036054,TBC1D23,TBC1 domain family member 23
